n_shot,seed_idx,MRE_finetune_scale,MRE_original_scale,MRE_lm1,MRE_lm2,MRE_lm3,MRE_lm4,MRE_lm5,MRE_lm6,MRE_lm7,MRE_lm8,MRE_lm9,MRE_lm10,MRE_lm11,MRE_lm12,MRE_lm13,MRE_lm14,MRE_lm15
1,0,211.57106018066406,578.5146176815033,336.8643493652344,150.31393432617188,135.49220275878906,69.15483093261719,108.76021575927734,160.02207946777344,337.1825256347656,370.2808837890625,268.74456787109375,135.72152709960938,352.3356018066406,295.3911437988281,84.5177993774414,140.98367309570312,227.8004608154297
1,1,174.48524475097656,477.10809111595154,143.7923126220703,114.9416275024414,83.89347839355469,89.3287353515625,90.27430725097656,86.92465209960938,254.1661834716797,374.45709228515625,179.61367797851562,154.12191772460938,260.6701965332031,200.1704559326172,245.70420837402344,175.7130126953125,163.5067901611328
1,2,191.81103515625,524.4832992553711,163.451904296875,157.19808959960938,101.78248596191406,168.75509643554688,124.40011596679688,215.32968139648438,214.77317810058594,388.53619384765625,179.72348022460938,171.049072265625,218.7957763671875,229.5099334716797,229.00286865234375,160.539794921875,154.3179931640625
3,0,205.66726684570312,562.3714327812195,334.9994812011719,139.4596405029297,137.1642303466797,65.48652648925781,116.5280532836914,154.7986297607422,314.4160461425781,361.84674072265625,261.2234191894531,152.93438720703125,320.7093505859375,289.2480163574219,85.07128143310547,134.84422302246094,216.27899169921875
3,1,183.99734497070312,503.11774015426636,152.38131713867188,119.60182189941406,89.47069549560547,89.66997528076172,96.91266632080078,97.92929077148438,275.5716247558594,354.14111328125,187.61305236816406,191.5146026611328,248.134521484375,225.0145263671875,237.0736846923828,190.19544982910156,204.73585510253906
3,2,191.85191345214844,524.5950758457184,170.65841674804688,144.8939971923828,99.56858825683594,191.6026611328125,116.56462097167969,207.45716857910156,220.51246643066406,399.08935546875,174.5985107421875,164.32232666015625,219.5930938720703,224.49705505371094,228.24131774902344,155.3878631591797,160.79132080078125
6,0,206.34603881835938,564.2274498939514,326.3530578613281,132.09986877441406,138.82716369628906,66.7322006225586,115.13115692138672,167.643310546875,319.6155700683594,367.13006591796875,255.1026611328125,144.52549743652344,320.5708312988281,288.802490234375,87.37831115722656,149.46524047851562,215.81314086914062
6,1,180.72659301757812,494.1742777824402,147.8919219970703,117.42244720458984,86.43668365478516,83.40724182128906,91.20128631591797,97.10460662841797,261.1142578125,367.2807922363281,188.70022583007812,180.796142578125,258.7673034667969,218.45733642578125,232.73997497558594,185.51077270507812,194.0681610107422
6,2,188.5696563720703,515.6201541423798,167.84742736816406,131.83804321289062,103.1981430053711,188.57765197753906,118.5217514038086,179.02552795410156,222.81004333496094,393.381591796875,176.1143798828125,163.36390686035156,214.41758728027344,233.83314514160156,231.54844665527344,150.87355041503906,153.193359375
11,0,205.209716796875,561.1203193664551,321.1722717285156,132.0313262939453,136.3983154296875,66.94786834716797,117.09625244140625,162.47830200195312,317.5948791503906,364.5139465332031,256.606201171875,151.52488708496094,312.277099609375,286.1790771484375,89.63175201416016,145.2255401611328,218.4678955078125
11,1,181.232666015625,495.5580711364746,151.88291931152344,118.48361206054688,87.50347900390625,84.38408660888672,92.5914077758789,97.60521697998047,258.3706359863281,368.2283630371094,191.71145629882812,183.85496520996094,259.62554931640625,215.95179748535156,231.72027587890625,180.75900268554688,195.81716918945312
11,2,189.9607391357422,519.423896074295,167.7267608642578,139.90640258789062,104.01976776123047,185.726318359375,123.16983795166016,182.0887908935547,228.33648681640625,398.084228515625,175.78164672851562,159.52467346191406,212.02085876464844,235.37966918945312,221.67776489257812,160.63414001464844,155.33358764648438
20,0,201.7859649658203,551.7584979534149,298.2916564941406,129.08078002929688,140.7827606201172,64.72937774658203,115.40081787109375,155.35264587402344,314.3739318847656,362.13543701171875,248.49559020996094,157.9715576171875,310.839599609375,287.69287109375,82.75273132324219,145.95738220214844,212.93235778808594
20,1,188.6417236328125,515.8172130584717,145.87582397460938,120.47290802001953,117.4789810180664,79.8059310913086,93.3158187866211,105.42359924316406,265.3922424316406,371.0903015136719,187.45774841308594,199.2826385498047,254.58663940429688,214.66098022460938,238.3412322998047,202.95053100585938,233.49061584472656
20,2,189.4113006591797,517.9215252399445,162.63836669921875,141.73550415039062,103.41876220703125,185.39060974121094,118.18669128417969,178.89218139648438,232.7252655029297,395.4729919433594,175.0630645751953,164.63438415527344,210.05792236328125,238.99473571777344,222.20834350585938,156.24058532714844,155.5103302001953
